,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,70.02,77,100,19.8,PF,1666265689
1,New Norfolk,-42.7826,147.0587,53.1,73,33,2.08,AU,1666265690
2,Arraial do Cabo,-22.9661,-42.0278,76.86,78,20,18.41,BR,1666265690
3,Severnoye,56.3491,78.3619,39.07,90,98,6.82,RU,1666265690
4,Ushuaia,-54.8,-68.3,33.46,86,75,20.71,AR,1666265429
5,Mataura,-46.1927,168.8643,38.68,68,80,4.92,NZ,1666265691
6,Carnarvon,-24.8667,113.6333,67.44,76,0,18.84,AU,1666265691
7,Mar del Plata,-38.0023,-57.5575,60.94,93,100,5.99,AR,1666265506
8,Vaini,-21.2,-175.2,71.76,100,75,4.61,TO,1666265691
9,Río Gallegos,-51.6226,-69.2181,37.45,70,20,19.57,AR,1666265691
10,Jamestown,42.097,-79.2353,36.99,85,100,13.8,US,1666265691
11,Lavrentiya,65.5833,-171.0,36.01,98,100,21.16,RU,1666265691
12,Bluff,-46.6,168.3333,45.66,54,30,17.6,NZ,1666265691
13,Yellowknife,62.456,-114.3525,41.52,87,100,16.11,CA,1666265654
14,Lorengau,-2.0226,147.2712,80.82,78,10,2.62,PG,1666265691
15,Camacha,33.0833,-16.3333,71.02,83,20,14.97,PT,1666265692
16,Tiksi,71.6872,128.8694,6.3,92,16,11.77,RU,1666265692
17,Shingū,33.7333,135.9833,56.77,71,0,5.44,JP,1666265692
18,Hamilton,39.1834,-84.5333,35.1,68,0,8.05,US,1666265692
19,Kaitangata,-46.2817,169.8464,44.62,55,91,14.23,NZ,1666265692
20,Cidreira,-30.1811,-50.2056,66.31,91,100,7.67,BR,1666265692
21,Sakaiminato,35.55,133.2333,55.33,94,0,4.61,JP,1666265692
22,Cintalapa,16.6951,-93.7272,65.97,97,100,9.04,MX,1666265692
23,Sioux Lookout,50.1001,-91.917,24.87,93,0,4.61,CA,1666265693
24,Iberia,29.9502,-91.7507,40.98,87,0,0.0,US,1666265693
25,Port Alfred,-33.5906,26.891,72.18,67,43,8.99,ZA,1666265693
26,Hobart,-42.8794,147.3294,53.46,84,20,8.05,AU,1666265694
27,Wuwei,37.9281,102.6414,55.29,29,94,3.71,CN,1666265694
28,Necochea,-38.5473,-58.7368,65.7,69,100,11.52,AR,1666265417
29,Rocha,-34.4833,-54.3333,64.89,80,100,9.98,UY,1666265695
30,Guane,22.2025,-84.0875,70.92,78,96,10.04,CU,1666265695
31,Pisco,-13.7,-76.2167,51.85,87,20,3.44,PE,1666265695
32,Nanortalik,60.1432,-45.2371,33.94,57,13,16.37,GL,1666265695
33,Goose Creek,32.981,-80.0326,45.9,97,0,3.44,US,1666265695
34,Tianpeng,30.9866,103.9393,70.72,53,19,6.62,CN,1666265695
35,Zhigansk,66.7697,123.3711,13.73,92,90,5.82,RU,1666265695
36,Lerwick,60.1545,-1.1494,50.0,71,100,19.53,GB,1666265696
37,Jutaí,-5.1833,-68.9,73.6,97,100,1.77,BR,1666265696
38,Maltahöhe,-24.8333,16.9833,89.46,18,1,11.16,NA,1666265697
39,Yongzhou,26.4559,111.5988,73.08,22,29,2.62,CN,1666265697
40,Cabo San Lucas,22.8909,-109.9124,72.61,82,45,8.86,MX,1666265697
41,Talcahuano,-36.7167,-73.1167,49.68,76,75,5.75,CL,1666265697
42,Laas,46.6166,10.7002,63.48,55,81,4.52,IT,1666265697
43,Punta Arenas,-53.15,-70.9167,37.51,75,40,13.8,CL,1666265462
44,Te Anau,-45.4167,167.7167,35.33,92,47,3.78,NZ,1666265697
45,Lebu,-37.6167,-73.65,51.55,78,91,4.83,CL,1666265697
46,Butaritari,3.0707,172.7902,81.21,76,68,8.95,KI,1666265697
47,Adrar,20.5022,-10.0711,95.09,11,5,6.73,MR,1666265698
48,Raudeberg,61.9875,5.1352,46.96,65,61,3.51,NO,1666265698
49,Hambantota,6.1241,81.1185,82.74,83,100,14.97,LK,1666265698
50,Vao,-22.6667,167.4833,70.86,72,23,18.43,NC,1666265698
51,Kirakira,-10.4544,161.9205,80.31,84,72,8.66,SB,1666265698
52,Avera,33.194,-82.5271,34.92,61,2,4.65,US,1666265699
53,Ilhabela,-23.7781,-45.3581,78.76,66,48,2.77,BR,1666265699
54,Qaanaaq,77.484,-69.3632,0.48,70,6,13.98,GL,1666265699
55,Petauke,-14.2426,31.3253,89.08,21,68,7.07,ZM,1666265699
56,Hilo,19.7297,-155.09,77.29,96,0,1.01,US,1666265699
57,Khatanga,71.9667,102.5,31.55,98,100,9.93,RU,1666265699
58,Albany,42.6001,-73.9662,40.73,88,45,6.91,US,1666265699
59,Geraldton,-28.7667,114.6,63.01,72,0,6.91,AU,1666265699
60,Tasiilaq,65.6145,-37.6368,39.36,93,99,3.13,GL,1666265699
61,Vila Velha,-20.3297,-40.2925,73.35,94,75,6.91,BR,1666265461
62,Mangan,27.5167,88.5333,63.07,73,3,4.79,IN,1666265700
63,Fortuna,40.5982,-124.1573,52.66,87,5,1.32,US,1666265700
64,Cape Town,-33.9258,18.4232,73.11,46,20,13.8,ZA,1666265663
65,Escanaba,45.7453,-87.0646,37.71,91,100,4.61,US,1666265700
66,Ballina,-28.8667,153.5667,69.01,99,100,13.47,AU,1666265700
67,Pevek,69.7008,170.3133,25.27,86,100,4.83,RU,1666265700
68,Mossamedes,-15.1961,12.1522,77.63,65,40,11.5,AO,1666265700
69,Xining,36.6167,101.7667,45.63,81,88,0.65,CN,1666265700
70,Bredasdorp,-34.5322,20.0403,71.96,41,31,15.14,ZA,1666265701
71,Talnakh,69.4865,88.3972,34.21,98,100,19.37,RU,1666265701
72,Saint Paul Harbor,57.79,-152.4072,47.71,87,100,3.44,US,1666265701
73,Bengkulu,-3.8004,102.2655,77.83,87,95,10.96,ID,1666265701
74,Ulaanbaatar,47.9077,106.8832,30.33,80,20,6.71,MN,1666265541
75,Busselton,-33.65,115.3333,59.4,70,92,7.31,AU,1666265701
76,Kumul,42.8,93.45,54.63,36,94,2.71,CN,1666265701
77,Nikolskoye,59.7035,30.7861,44.49,78,85,6.85,RU,1666265701
78,Longyearbyen,78.2186,15.6401,22.84,68,20,3.44,SJ,1666265701
79,Dhārchula,29.85,80.5333,60.78,75,66,2.39,IN,1666265702
80,Lazurne,46.084,32.5295,50.34,50,56,27.34,UA,1666265702
81,Satun,6.8333,100.0,80.6,92,100,2.24,TH,1666265702
82,Puerto Escondido,15.85,-97.0667,72.43,73,40,3.44,MX,1666265702
83,Omboué,-1.5746,9.2618,82.24,71,95,9.4,GA,1666265703
84,Saskylakh,71.9167,114.0833,-2.99,98,26,3.11,RU,1666265703
85,Nkhotakota,-12.9274,34.2961,86.23,36,54,7.74,MW,1666265704
86,George Town,5.4112,100.3354,85.95,73,20,5.99,MY,1666265560
87,Garissa,-0.4536,39.6401,90.93,40,84,19.01,KE,1666265704
88,Erzin,36.9559,36.2,76.05,55,5,6.64,TR,1666265704
89,Orange Cove,36.6244,-119.3137,64.06,72,0,0.0,US,1666265704
90,Husavik,66.0449,-17.3389,32.04,72,2,7.34,IS,1666265704
91,Coquimbo,-29.9533,-71.3436,51.53,87,0,3.44,CL,1666265705
92,Peniche,39.3558,-9.3811,69.3,86,85,22.06,PT,1666265705
93,Nizhnevartovsk,60.9344,76.5531,39.22,100,75,8.99,RU,1666265705
94,Port Elizabeth,-33.918,25.5701,71.31,70,40,28.77,ZA,1666265512
95,Ferme-Neuve,46.7001,-75.4493,36.36,89,100,9.69,CA,1666265705
96,Thompson,55.7435,-97.8558,33.96,100,100,6.91,CA,1666265705
97,Lompoc,34.6391,-120.4579,68.94,60,0,14.97,US,1666265706
98,Los Llanos de Aridane,28.6585,-17.9182,71.35,80,0,5.01,ES,1666265706
99,Kapaa,22.0752,-159.319,71.58,85,100,9.22,US,1666265706
100,Novosibirsk,55.0411,82.9344,42.1,87,100,13.42,RU,1666265650
101,Ulcinj,41.9294,19.2244,72.99,44,0,5.64,ME,1666265706
102,Puerto Ayora,-0.7393,-90.3518,66.54,82,93,9.51,EC,1666265706
103,Riberalta,-10.9833,-66.1,77.2,94,75,0.0,BO,1666265706
104,Ribeira Grande,38.5167,-28.7,68.77,72,20,9.22,PT,1666265676
105,Naryan-Mar,67.6713,53.087,33.28,98,100,9.44,RU,1666265706
106,Morant Bay,17.8815,-76.4093,80.22,83,10,4.5,JM,1666265707
107,Kloulklubed,7.0419,134.2556,79.3,71,100,14.05,PW,1666265707
108,Norman Wells,65.282,-126.8329,30.24,93,100,9.22,CA,1666265707
109,San Vicente,-26.6167,-54.1333,63.43,98,100,3.31,AR,1666265707
110,Scarborough,54.2797,-0.4044,55.65,92,100,5.99,GB,1666265704
111,Nyurba,63.2842,118.3319,26.65,92,80,7.78,RU,1666265707
112,Upernavik,72.7868,-56.1549,17.22,79,100,10.13,GL,1666265707
113,Haines Junction,60.7522,-137.5108,35.55,87,98,4.61,CA,1666265707
114,Ortigueira,-24.2083,-50.9494,64.0,96,100,3.58,BR,1666265707
115,Kavaratti,10.5669,72.642,81.75,77,76,10.89,IN,1666265707
116,Khasan,42.4308,130.6434,54.57,58,18,4.18,RU,1666265707
117,Pierre,44.3683,-100.351,47.32,67,0,10.36,US,1666265708
